Date,Open,High,Low,Close*,Adj Close**,Volume
"Jun 30, 2023",30441.35,31256.86,29600.28,30477.25,30477.25,26387306197
"Jun 29, 2023",30086.19,30796.25,30057.20,30445.35,30445.35,13180860821
"Jun 28, 2023",30696.56,30703.28,29921.82,30086.25,30086.25,14571500779
"Jun 27, 2023",30274.32,31006.79,30236.65,30688.16,30688.16,16428827944
"Jun 26, 2023",30480.52,30636.03,29955.74,30271.13,30271.13,16493186997
"Jun 25, 2023",30545.15,31041.27,30327.94,30480.26,30480.26,12703464114
"Jun 24, 2023",30708.74,30804.15,30290.15,30548.70,30548.70,12147822496
"Jun 23, 2023",29896.38,31389.54,29845.21,30695.47,30695.47,24115570085
"Jun 22, 2023",29995.94,30496.00,29679.16,29912.28,29912.28,20653160491
"Jun 21, 2023",28311.31,30737.33,28283.41,30027.30,30027.30,33346760979
"Jun 20, 2023",26841.66,28388.97,26668.79,28327.49,28327.49,22211859147
"Jun 19, 2023",26335.44,26984.61,26312.83,26851.03,26851.03,12826986222
"Jun 18, 2023",26510.46,26675.93,26325.89,26336.21,26336.21,9565695129
"Jun 17, 2023",26328.68,26769.39,26174.49,26510.68,26510.68,11090276850
"Jun 16, 2023",25575.28,26463.17,25245.36,26327.46,26327.46,16324646965
"Jun 15, 2023",25121.67,25735.31,24797.17,25576.39,25576.39,15837384409
"Jun 14, 2023",25920.26,26041.80,24902.15,25124.68,25124.68,14265717766
"Jun 13, 2023",25902.94,26376.35,25728.37,25918.73,25918.73,14143474486
"Jun 12, 2023",25934.29,26087.92,25675.20,25902.50,25902.50,11677889997
"Jun 11, 2023",25854.03,26203.44,25668.99,25940.17,25940.17,10732609603
"Jun 10, 2023",26481.76,26531.04,25501.84,25851.24,25851.24,19872933189
"Jun 09, 2023",26505.92,26770.29,26339.31,26480.38,26480.38,11015551640
"Jun 08, 2023",26347.65,26797.51,26246.66,26508.22,26508.22,11904824295
"Jun 07, 2023",27235.65,27332.18,26146.99,26346.00,26346.00,19530045082
"Jun 06, 2023",25732.11,27313.82,25434.87,27238.78,27238.78,21929670693
"Jun 05, 2023",27123.11,27129.98,25445.17,25760.10,25760.10,21513292646
"Jun 04, 2023",27075.12,27407.02,26968.22,27119.07,27119.07,9360912318
"Jun 03, 2023",27252.32,27317.05,26958.00,27075.13,27075.13,8385597470
"Jun 02, 2023",26824.56,27303.86,26574.64,27249.59,27249.59,14837415000
"Jun 01, 2023",27218.41,27346.11,26671.72,26819.97,26819.97,14678970415
"May 31, 2023",27700.53,27831.68,26866.45,27219.66,27219.66,15656371534
"May 30, 2023",27745.12,28044.76,27588.50,27702.35,27702.35,13251081851
"May 29, 2023",28075.59,28432.04,27563.88,27745.88,27745.88,15181308984
"May 28, 2023",26871.16,28193.45,26802.75,28085.65,28085.65,14545229578
"May 27, 2023",26720.18,26888.88,26621.14,26868.35,26868.35,7892015141
"May 26, 2023",26474.18,26916.67,26343.95,26719.29,26719.29,12711619225
